date,type,cluster_index,prices_hourly,prices_quarterly
2024/04/09,typical_0,0,"48.59,38.15,38.54,41.84,41.1,58.65,63.05,46.47,32.52,27.12,17.48,4.08,4.28,19.69,13.22,22.92,41.91,57.73,53.42,48.34,40.43,25.0,25.84,6.65","48.59,48.59,48.59,48.59,38.15,38.15,38.15,38.15,38.54,38.54,38.54,38.54,41.84,41.84,41.84,41.84,41.1,41.1,41.1,41.1,58.65,58.65,58.65,58.65,63.05,63.05,63.05,63.05,46.47,46.47,46.47,46.47,32.52,32.52,32.52,32.52,27.12,27.12,27.12,27.12,17.48,17.48,17.48,17.48,4.08,4.08,4.08,4.08,4.28,4.28,4.28,4.28,19.69,19.69,19.69,19.69,13.22,13.22,13.22,13.22,22.92,22.92,22.92,22.92,41.91,41.91,41.91,41.91,57.73,57.73,57.73,57.73,53.42,53.42,53.42,53.42,48.34,48.34,48.34,48.34,40.43,40.43,40.43,40.43,25.0,25.0,25.0,25.0,25.84,25.84,25.84,25.84,6.65,6.65,6.65,6.65"
2024/07/09,typical_1,1,"53.14,41.26,38.7,49.9,58.21,75.38,75.58,59.81,46.63,33.71,21.95,7.32,5.31,12.12,46.43,77.36,102.11,110.09,121.81,108.05,87.85,82.93,73.97,64.4","53.14,53.14,53.14,53.14,41.26,41.26,41.26,41.26,38.7,38.7,38.7,38.7,49.9,49.9,49.9,49.9,58.21,58.21,58.21,58.21,75.38,75.38,75.38,75.38,75.58,75.58,75.58,75.58,59.81,59.81,59.81,59.81,46.63,46.63,46.63,46.63,33.71,33.71,33.71,33.71,21.95,21.95,21.95,21.95,7.32,7.32,7.32,7.32,5.31,5.31,5.31,5.31,12.12,12.12,12.12,12.12,46.43,46.43,46.43,46.43,77.36,77.36,77.36,77.36,102.11,102.11,102.11,102.11,110.09,110.09,110.09,110.09,121.81,121.81,121.81,121.81,108.05,108.05,108.05,108.05,87.85,87.85,87.85,87.85,82.93,82.93,82.93,82.93,73.97,73.97,73.97,73.97,64.4,64.4,64.4,64.4"
2024/10/05,typical_2,2,"81.4,75.54,75.72,79.82,86.2,100.4,110.0,94.99,67.67,47.21,32.51,26.72,6.8,29.52,44.56,69.57,93.86,109.86,100.28,83.55,78.6,67.0,55.35,44.22","81.4,81.4,81.4,81.4,75.54,75.54,75.54,75.54,75.72,75.72,75.72,75.72,79.82,79.82,79.82,79.82,86.2,86.2,86.2,86.2,100.4,100.4,100.4,100.4,110.0,110.0,110.0,110.0,94.99,94.99,94.99,94.99,67.67,67.67,67.67,67.67,47.21,47.21,47.21,47.21,32.51,32.51,32.51,32.51,26.72,26.72,26.72,26.72,6.8,6.8,6.8,6.8,29.52,29.52,29.52,29.52,44.56,44.56,44.56,44.56,69.57,69.57,69.57,69.57,93.86,93.86,93.86,93.86,109.86,109.86,109.86,109.86,100.28,100.28,100.28,100.28,83.55,83.55,83.55,83.55,78.6,78.6,78.6,78.6,67.0,67.0,67.0,67.0,55.35,55.35,55.35,55.35,44.22,44.22,44.22,44.22"
2024/01/30,typical_3,3,"68.7,69.37,66.06,65.29,69.37,78.7,90.82,95.94,84.93,77.15,70.1,68.1,68.23,71.93,75.0,80.22,88.42,99.49,101.39,88.31,79.18,79.59,76.34,75.1","68.7,68.7,68.7,68.7,69.37,69.37,69.37,69.37,66.06,66.06,66.06,66.06,65.29,65.29,65.29,65.29,69.37,69.37,69.37,69.37,78.7,78.7,78.7,78.7,90.82,90.82,90.82,90.82,95.94,95.94,95.94,95.94,84.93,84.93,84.93,84.93,77.15,77.15,77.15,77.15,70.1,70.1,70.1,70.1,68.1,68.1,68.1,68.1,68.23,68.23,68.23,68.23,71.93,71.93,71.93,71.93,75.0,75.0,75.0,75.0,80.22,80.22,80.22,80.22,88.42,88.42,88.42,88.42,99.49,99.49,99.49,99.49,101.39,101.39,101.39,101.39,88.31,88.31,88.31,88.31,79.18,79.18,79.18,79.18,79.59,79.59,79.59,79.59,76.34,76.34,76.34,76.34,75.1,75.1,75.1,75.1"
2024/08/03,typical_4,4,"62.84,54.98,52.12,58.82,60.38,57.69,53.4,41.69,32.44,20.36,14.66,6.41,4.12,11.92,26.79,40.58,63.32,74.76,80.66,85.03,85.18,74.76,70.56,64.64","62.84,62.84,62.84,62.84,54.98,54.98,54.98,54.98,52.12,52.12,52.12,52.12,58.82,58.82,58.82,58.82,60.38,60.38,60.38,60.38,57.69,57.69,57.69,57.69,53.4,53.4,53.4,53.4,41.69,41.69,41.69,41.69,32.44,32.44,32.44,32.44,20.36,20.36,20.36,20.36,14.66,14.66,14.66,14.66,6.41,6.41,6.41,6.41,4.12,4.12,4.12,4.12,11.92,11.92,11.92,11.92,26.79,26.79,26.79,26.79,40.58,40.58,40.58,40.58,63.32,63.32,63.32,63.32,74.76,74.76,74.76,74.76,80.66,80.66,80.66,80.66,85.03,85.03,85.03,85.03,85.18,85.18,85.18,85.18,74.76,74.76,74.76,74.76,70.56,70.56,70.56,70.56,64.64,64.64,64.64,64.64"
2024/07/19,typical_5,5,"80.07,73.16,71.83,80.48,90.0,101.6,98.4,81.43,70.41,59.86,45.74,37.86,37.61,43.99,65.26,77.67,86.9,104.69,136.98,120.14,107.11,91.7,94.99,89.52","80.07,80.07,80.07,80.07,73.16,73.16,73.16,73.16,71.83,71.83,71.83,71.83,80.48,80.48,80.48,80.48,90.0,90.0,90.0,90.0,101.6,101.6,101.6,101.6,98.4,98.4,98.4,98.4,81.43,81.43,81.43,81.43,70.41,70.41,70.41,70.41,59.86,59.86,59.86,59.86,45.74,45.74,45.74,45.74,37.86,37.86,37.86,37.86,37.61,37.61,37.61,37.61,43.99,43.99,43.99,43.99,65.26,65.26,65.26,65.26,77.67,77.67,77.67,77.67,86.9,86.9,86.9,86.9,104.69,104.69,104.69,104.69,136.98,136.98,136.98,136.98,120.14,120.14,120.14,120.14,107.11,107.11,107.11,107.11,91.7,91.7,91.7,91.7,94.99,94.99,94.99,94.99,89.52,89.52,89.52,89.52"
2024/02/14,typical_6,6,"59.34,55.76,54.79,55.06,58.74,63.93,73.41,80.13,69.65,63.86,63.29,60.19,53.92,60.0,64.55,66.65,76.3,87.8,84.79,76.77,69.58,68.2,63.8,61.62","59.34,59.34,59.34,59.34,55.76,55.76,55.76,55.76,54.79,54.79,54.79,54.79,55.06,55.06,55.06,55.06,58.74,58.74,58.74,58.74,63.93,63.93,63.93,63.93,73.41,73.41,73.41,73.41,80.13,80.13,80.13,80.13,69.65,69.65,69.65,69.65,63.86,63.86,63.86,63.86,63.29,63.29,63.29,63.29,60.19,60.19,60.19,60.19,53.92,53.92,53.92,53.92,60.0,60.0,60.0,60.0,64.55,64.55,64.55,64.55,66.65,66.65,66.65,66.65,76.3,76.3,76.3,76.3,87.8,87.8,87.8,87.8,84.79,84.79,84.79,84.79,76.77,76.77,76.77,76.77,69.58,69.58,69.58,69.58,68.2,68.2,68.2,68.2,63.8,63.8,63.8,63.8,61.62,61.62,61.62,61.62"
2024/11/21,typical_7,7,"90.4,86.8,84.15,84.23,93.51,109.4,123.36,133.85,135.04,127.44,115.55,113.7,121.29,134.4,144.79,161.23,169.9,155.9,148.93,129.08,121.56,120.0,106.36,113.3","90.4,90.4,90.4,90.4,86.8,86.8,86.8,86.8,84.15,84.15,84.15,84.15,84.23,84.23,84.23,84.23,93.51,93.51,93.51,93.51,109.4,109.4,109.4,109.4,123.36,123.36,123.36,123.36,133.85,133.85,133.85,133.85,135.04,135.04,135.04,135.04,127.44,127.44,127.44,127.44,115.55,115.55,115.55,115.55,113.7,113.7,113.7,113.7,121.29,121.29,121.29,121.29,134.4,134.4,134.4,134.4,144.79,144.79,144.79,144.79,161.23,161.23,161.23,161.23,169.9,169.9,169.9,169.9,155.9,155.9,155.9,155.9,148.93,148.93,148.93,148.93,129.08,129.08,129.08,129.08,121.56,121.56,121.56,121.56,120.0,120.0,120.0,120.0,106.36,106.36,106.36,106.36,113.3,113.3,113.3,113.3"
2024/06/16,typical_8,8,"6.0,4.01,3.02,2.96,3.51,0.47,-0.02,-1.27,-10.0,-13.34,-20.01,-30.01,-35.68,-29.04,-9.86,-1.32,25.6,45.18,55.9,69.47,73.14,65.0,64.39,56.7","6.0,6.0,6.0,6.0,4.01,4.01,4.01,4.01,3.02,3.02,3.02,3.02,2.96,2.96,2.96,2.96,3.51,3.51,3.51,3.51,0.47,0.47,0.47,0.47,-0.02,-0.02,-0.02,-0.02,-1.27,-1.27,-1.27,-1.27,-10.0,-10.0,-10.0,-10.0,-13.34,-13.34,-13.34,-13.34,-20.01,-20.01,-20.01,-20.01,-30.01,-30.01,-30.01,-30.01,-35.68,-35.68,-35.68,-35.68,-29.04,-29.04,-29.04,-29.04,-9.86,-9.86,-9.86,-9.86,-1.32,-1.32,-1.32,-1.32,25.6,25.6,25.6,25.6,45.18,45.18,45.18,45.18,55.9,55.9,55.9,55.9,69.47,69.47,69.47,69.47,73.14,73.14,73.14,73.14,65.0,65.0,65.0,65.0,64.39,64.39,64.39,64.39,56.7,56.7,56.7,56.7"
2024/01/09,typical_9,9,"83.29,85.0,83.89,82.45,88.29,99.83,112.16,130.5,120.69,109.08,102.1,92.22,92.11,101.19,112.35,122.38,137.1,136.7,129.74,116.34,105.57,98.4,93.69,83.0","83.29,83.29,83.29,83.29,85.0,85.0,85.0,85.0,83.89,83.89,83.89,83.89,82.45,82.45,82.45,82.45,88.29,88.29,88.29,88.29,99.83,99.83,99.83,99.83,112.16,112.16,112.16,112.16,130.5,130.5,130.5,130.5,120.69,120.69,120.69,120.69,109.08,109.08,109.08,109.08,102.1,102.1,102.1,102.1,92.22,92.22,92.22,92.22,92.11,92.11,92.11,92.11,101.19,101.19,101.19,101.19,112.35,112.35,112.35,112.35,122.38,122.38,122.38,122.38,137.1,137.1,137.1,137.1,136.7,136.7,136.7,136.7,129.74,129.74,129.74,129.74,116.34,116.34,116.34,116.34,105.57,105.57,105.57,105.57,98.4,98.4,98.4,98.4,93.69,93.69,93.69,93.69,83.0,83.0,83.0,83.0"
